,0,1,2,3,4,5
0,AREA_KM2,AGE,POP,NAME,time,SEX
1,30278,0,130631,Belgium,2020,0
2,30278,1,131570,Belgium,2020,0
3,30278,2,132394,Belgium,2020,0
4,30278,3,133105,Belgium,2020,0
5,30278,4,133727,Belgium,2020,0
6,30278,5,134140,Belgium,2020,0
7,30278,6,134340,Belgium,2020,0
8,30278,7,134495,Belgium,2020,0
9,30278,8,135375,Belgium,2020,0
10,30278,9,137751,Belgium,2020,0
11,30278,10,138814,Belgium,2020,0
12,30278,11,137091,Belgium,2020,0
13,30278,12,136680,Belgium,2020,0
14,30278,13,135181,Belgium,2020,0
15,30278,14,132713,Belgium,2020,0
16,30278,15,130203,Belgium,2020,0
17,30278,16,128685,Belgium,2020,0
18,30278,17,127560,Belgium,2020,0
19,30278,18,127512,Belgium,2020,0
20,30278,19,129269,Belgium,2020,0
21,30278,20,130386,Belgium,2020,0
22,30278,21,131151,Belgium,2020,0
23,30278,22,134044,Belgium,2020,0
24,30278,23,136678,Belgium,2020,0
25,30278,24,137381,Belgium,2020,0
26,30278,25,138963,Belgium,2020,0
27,30278,26,143602,Belgium,2020,0
28,30278,27,149120,Belgium,2020,0
29,30278,28,153430,Belgium,2020,0
30,30278,29,155530,Belgium,2020,0
31,30278,30,155879,Belgium,2020,0
32,30278,31,154583,Belgium,2020,0
33,30278,32,153583,Belgium,2020,0
34,30278,33,153394,Belgium,2020,0
35,30278,34,152418,Belgium,2020,0
36,30278,35,152417,Belgium,2020,0
37,30278,36,153780,Belgium,2020,0
38,30278,37,154155,Belgium,2020,0
39,30278,38,157045,Belgium,2020,0
40,30278,39,157384,Belgium,2020,0
41,30278,40,156753,Belgium,2020,0
42,30278,41,154430,Belgium,2020,0
43,30278,42,151475,Belgium,2020,0
44,30278,43,148436,Belgium,2020,0
45,30278,44,145592,Belgium,2020,0
46,30278,45,145285,Belgium,2020,0
47,30278,46,149766,Belgium,2020,0
48,30278,47,154016,Belgium,2020,0
49,30278,48,157555,Belgium,2020,0
50,30278,49,158508,Belgium,2020,0
51,30278,50,157484,Belgium,2020,0
52,30278,51,156522,Belgium,2020,0
53,30278,52,156818,Belgium,2020,0
54,30278,53,158785,Belgium,2020,0
55,30278,54,161519,Belgium,2020,0
56,30278,55,164665,Belgium,2020,0
57,30278,56,164949,Belgium,2020,0
58,30278,57,160858,Belgium,2020,0
59,30278,58,158325,Belgium,2020,0
60,30278,59,155896,Belgium,2020,0
61,30278,60,154731,Belgium,2020,0
62,30278,61,151590,Belgium,2020,0
63,30278,62,147001,Belgium,2020,0
64,30278,63,142957,Belgium,2020,0
65,30278,64,139384,Belgium,2020,0
66,30278,65,135452,Belgium,2020,0
67,30278,66,131178,Belgium,2020,0
68,30278,67,127601,Belgium,2020,0
69,30278,68,123192,Belgium,2020,0
70,30278,69,119190,Belgium,2020,0
71,30278,70,117448,Belgium,2020,0
72,30278,71,115708,Belgium,2020,0
73,30278,72,113932,Belgium,2020,0
74,30278,73,111253,Belgium,2020,0
75,30278,74,100748,Belgium,2020,0
76,30278,75,90390,Belgium,2020,0
77,30278,76,85716,Belgium,2020,0
78,30278,77,76397,Belgium,2020,0
79,30278,78,66836,Belgium,2020,0
80,30278,79,65485,Belgium,2020,0
81,30278,80,69091,Belgium,2020,0
82,30278,81,69201,Belgium,2020,0
83,30278,82,65284,Belgium,2020,0
84,30278,83,59531,Belgium,2020,0
85,30278,84,54950,Belgium,2020,0
86,30278,85,50815,Belgium,2020,0
87,30278,86,46893,Belgium,2020,0
88,30278,87,43059,Belgium,2020,0
89,30278,88,39166,Belgium,2020,0
90,30278,89,34594,Belgium,2020,0
91,30278,90,29084,Belgium,2020,0
92,30278,91,23858,Belgium,2020,0
93,30278,92,19495,Belgium,2020,0
94,30278,93,15948,Belgium,2020,0
95,30278,94,13156,Belgium,2020,0
96,30278,95,10290,Belgium,2020,0
97,30278,96,8002,Belgium,2020,0
98,30278,97,6027,Belgium,2020,0
99,30278,98,4401,Belgium,2020,0
100,30278,99,3265,Belgium,2020,0
101,30278,100,4621,Belgium,2020,0
