,0,1,2,3,4,5
0,AREA_KM2,AGE,POP,NAME,time,SEX
1,743812,0,237678,Chile,2020,0
2,743812,1,238668,Chile,2020,0
3,743812,2,239504,Chile,2020,0
4,743812,3,240182,Chile,2020,0
5,743812,4,240463,Chile,2020,0
6,743812,5,240698,Chile,2020,0
7,743812,6,241129,Chile,2020,0
8,743812,7,241646,Chile,2020,0
9,743812,8,242336,Chile,2020,0
10,743812,9,243060,Chile,2020,0
11,743812,10,243750,Chile,2020,0
12,743812,11,244475,Chile,2020,0
13,743812,12,241880,Chile,2020,0
14,743812,13,234378,Chile,2020,0
15,743812,14,229517,Chile,2020,0
16,743812,15,228943,Chile,2020,0
17,743812,16,230751,Chile,2020,0
18,743812,17,235050,Chile,2020,0
19,743812,18,240713,Chile,2020,0
20,743812,19,245391,Chile,2020,0
21,743812,20,253871,Chile,2020,0
22,743812,21,264374,Chile,2020,0
23,743812,22,269115,Chile,2020,0
24,743812,23,272938,Chile,2020,0
25,743812,24,275802,Chile,2020,0
26,743812,25,280237,Chile,2020,0
27,743812,26,285044,Chile,2020,0
28,743812,27,287450,Chile,2020,0
29,743812,28,291572,Chile,2020,0
30,743812,29,297547,Chile,2020,0
31,743812,30,299249,Chile,2020,0
32,743812,31,293684,Chile,2020,0
33,743812,32,281562,Chile,2020,0
34,743812,33,269970,Chile,2020,0
35,743812,34,265230,Chile,2020,0
36,743812,35,264491,Chile,2020,0
37,743812,36,266731,Chile,2020,0
38,743812,37,268793,Chile,2020,0
39,743812,38,265498,Chile,2020,0
40,743812,39,245376,Chile,2020,0
41,743812,40,232399,Chile,2020,0
42,743812,41,228574,Chile,2020,0
43,743812,42,229775,Chile,2020,0
44,743812,43,233173,Chile,2020,0
45,743812,44,236559,Chile,2020,0
46,743812,45,238747,Chile,2020,0
47,743812,46,239426,Chile,2020,0
48,743812,47,238867,Chile,2020,0
49,743812,48,238587,Chile,2020,0
50,743812,49,238721,Chile,2020,0
51,743812,50,239752,Chile,2020,0
52,743812,51,241992,Chile,2020,0
53,743812,52,245072,Chile,2020,0
54,743812,53,248381,Chile,2020,0
55,743812,54,250646,Chile,2020,0
56,743812,55,250626,Chile,2020,0
57,743812,56,247351,Chile,2020,0
58,743812,57,241306,Chile,2020,0
59,743812,58,234053,Chile,2020,0
60,743812,59,226484,Chile,2020,0
61,743812,60,217719,Chile,2020,0
62,743812,61,207507,Chile,2020,0
63,743812,62,196414,Chile,2020,0
64,743812,63,184661,Chile,2020,0
65,743812,64,172950,Chile,2020,0
66,743812,65,162321,Chile,2020,0
67,743812,66,153384,Chile,2020,0
68,743812,67,145876,Chile,2020,0
69,743812,68,138845,Chile,2020,0
70,743812,69,131730,Chile,2020,0
71,743812,70,124758,Chile,2020,0
72,743812,71,118074,Chile,2020,0
73,743812,72,111592,Chile,2020,0
74,743812,73,105289,Chile,2020,0
75,743812,74,99198,Chile,2020,0
76,743812,75,93143,Chile,2020,0
77,743812,76,87139,Chile,2020,0
78,743812,77,81171,Chile,2020,0
79,743812,78,75403,Chile,2020,0
80,743812,79,69662,Chile,2020,0
81,743812,80,63428,Chile,2020,0
82,743812,81,56663,Chile,2020,0
83,743812,82,49836,Chile,2020,0
84,743812,83,43083,Chile,2020,0
85,743812,84,37015,Chile,2020,0
86,743812,85,32093,Chile,2020,0
87,743812,86,28499,Chile,2020,0
88,743812,87,25658,Chile,2020,0
89,743812,88,23073,Chile,2020,0
90,743812,89,20358,Chile,2020,0
91,743812,90,17335,Chile,2020,0
92,743812,91,14044,Chile,2020,0
93,743812,92,10842,Chile,2020,0
94,743812,93,8086,Chile,2020,0
95,743812,94,5943,Chile,2020,0
96,743812,95,4326,Chile,2020,0
97,743812,96,3162,Chile,2020,0
98,743812,97,2313,Chile,2020,0
99,743812,98,1669,Chile,2020,0
100,743812,99,1167,Chile,2020,0
101,743812,100,2104,Chile,2020,0
