,0,1,2,3,4,5
0,AREA_KM2,AGE,POP,NAME,time,SEX
1,96920,0,423003,"Korea, South",2020,0
2,96920,1,422359,"Korea, South",2020,0
3,96920,2,422383,"Korea, South",2020,0
4,96920,3,423712,"Korea, South",2020,0
5,96920,4,426805,"Korea, South",2020,0
6,96920,5,429075,"Korea, South",2020,0
7,96920,6,429878,"Korea, South",2020,0
8,96920,7,454083,"Korea, South",2020,0
9,96920,8,470701,"Korea, South",2020,0
10,96920,9,462998,"Korea, South",2020,0
11,96920,10,449132,"Korea, South",2020,0
12,96920,11,446729,"Korea, South",2020,0
13,96920,12,470014,"Korea, South",2020,0
14,96920,13,460399,"Korea, South",2020,0
15,96920,14,430133,"Korea, South",2020,0
16,96920,15,443510,"Korea, South",2020,0
17,96920,16,473121,"Korea, South",2020,0
18,96920,17,482571,"Korea, South",2020,0
19,96920,18,514258,"Korea, South",2020,0
20,96920,19,584313,"Korea, South",2020,0
21,96920,20,615969,"Korea, South",2020,0
22,96920,21,624196,"Korea, South",2020,0
23,96920,22,659567,"Korea, South",2020,0
24,96920,23,687458,"Korea, South",2020,0
25,96920,24,709924,"Korea, South",2020,0
26,96920,25,727717,"Korea, South",2020,0
27,96920,26,731023,"Korea, South",2020,0
28,96920,27,739316,"Korea, South",2020,0
29,96920,28,741381,"Korea, South",2020,0
30,96920,29,708971,"Korea, South",2020,0
31,96920,30,646019,"Korea, South",2020,0
32,96920,31,670858,"Korea, South",2020,0
33,96920,32,664406,"Korea, South",2020,0
34,96920,33,654538,"Korea, South",2020,0
35,96920,34,680846,"Korea, South",2020,0
36,96920,35,675187,"Korea, South",2020,0
37,96920,36,729191,"Korea, South",2020,0
38,96920,37,793468,"Korea, South",2020,0
39,96920,38,852259,"Korea, South",2020,0
40,96920,39,889498,"Korea, South",2020,0
41,96920,40,863896,"Korea, South",2020,0
42,96920,41,819734,"Korea, South",2020,0
43,96920,42,744216,"Korea, South",2020,0
44,96920,43,749855,"Korea, South",2020,0
45,96920,44,741713,"Korea, South",2020,0
46,96920,45,783329,"Korea, South",2020,0
47,96920,46,836613,"Korea, South",2020,0
48,96920,47,852366,"Korea, South",2020,0
49,96920,48,864342,"Korea, South",2020,0
50,96920,49,855318,"Korea, South",2020,0
51,96920,50,862152,"Korea, South",2020,0
52,96920,51,876704,"Korea, South",2020,0
53,96920,52,849386,"Korea, South",2020,0
54,96920,53,771678,"Korea, South",2020,0
55,96920,54,774573,"Korea, South",2020,0
56,96920,55,786151,"Korea, South",2020,0
57,96920,56,803837,"Korea, South",2020,0
58,96920,57,859028,"Korea, South",2020,0
59,96920,58,858126,"Korea, South",2020,0
60,96920,59,869694,"Korea, South",2020,0
61,96920,60,843780,"Korea, South",2020,0
62,96920,61,834022,"Korea, South",2020,0
63,96920,62,773332,"Korea, South",2020,0
64,96920,63,714361,"Korea, South",2020,0
65,96920,64,674198,"Korea, South",2020,0
66,96920,65,690825,"Korea, South",2020,0
67,96920,66,578588,"Korea, South",2020,0
68,96920,67,484323,"Korea, South",2020,0
69,96920,68,539652,"Korea, South",2020,0
70,96920,69,416058,"Korea, South",2020,0
71,96920,70,418662,"Korea, South",2020,0
72,96920,71,422848,"Korea, South",2020,0
73,96920,72,412084,"Korea, South",2020,0
74,96920,73,401423,"Korea, South",2020,0
75,96920,74,349438,"Korea, South",2020,0
76,96920,75,300129,"Korea, South",2020,0
77,96920,76,297000,"Korea, South",2020,0
78,96920,77,294930,"Korea, South",2020,0
79,96920,78,319700,"Korea, South",2020,0
80,96920,79,290678,"Korea, South",2020,0
81,96920,80,251139,"Korea, South",2020,0
82,96920,81,250150,"Korea, South",2020,0
83,96920,82,223212,"Korea, South",2020,0
84,96920,83,203326,"Korea, South",2020,0
85,96920,84,180280,"Korea, South",2020,0
86,96920,85,167050,"Korea, South",2020,0
87,96920,86,142262,"Korea, South",2020,0
88,96920,87,115124,"Korea, South",2020,0
89,96920,88,105644,"Korea, South",2020,0
90,96920,89,81490,"Korea, South",2020,0
91,96920,90,66620,"Korea, South",2020,0
92,96920,91,57701,"Korea, South",2020,0
93,96920,92,45212,"Korea, South",2020,0
94,96920,93,36100,"Korea, South",2020,0
95,96920,94,29156,"Korea, South",2020,0
96,96920,95,21457,"Korea, South",2020,0
97,96920,96,17296,"Korea, South",2020,0
98,96920,97,13390,"Korea, South",2020,0
99,96920,98,9444,"Korea, South",2020,0
100,96920,99,7021,"Korea, South",2020,0
101,96920,100,12325,"Korea, South",2020,0
