,0,1,2,3,4,5
0,AREA_KM2,AGE,POP,NAME,time,SEX
1,770875,0,6137813,Pakistan,2020,0
2,770875,1,6010518,Pakistan,2020,0
3,770875,2,5940135,Pakistan,2020,0
4,770875,3,5879636,Pakistan,2020,0
5,770875,4,5810091,Pakistan,2020,0
6,770875,5,5766820,Pakistan,2020,0
7,770875,6,5737464,Pakistan,2020,0
8,770875,7,5675082,Pakistan,2020,0
9,770875,8,5580674,Pakistan,2020,0
10,770875,9,5485167,Pakistan,2020,0
11,770875,10,5394698,Pakistan,2020,0
12,770875,11,5301054,Pakistan,2020,0
13,770875,12,5206279,Pakistan,2020,0
14,770875,13,5118942,Pakistan,2020,0
15,770875,14,5029246,Pakistan,2020,0
16,770875,15,4941440,Pakistan,2020,0
17,770875,16,4856446,Pakistan,2020,0
18,770875,17,4763387,Pakistan,2020,0
19,770875,18,4661786,Pakistan,2020,0
20,770875,19,4550552,Pakistan,2020,0
21,770875,20,4454829,Pakistan,2020,0
22,770875,21,4349790,Pakistan,2020,0
23,770875,22,4259644,Pakistan,2020,0
24,770875,23,4166055,Pakistan,2020,0
25,770875,24,4068252,Pakistan,2020,0
26,770875,25,3968061,Pakistan,2020,0
27,770875,26,3873158,Pakistan,2020,0
28,770875,27,3803946,Pakistan,2020,0
29,770875,28,3710738,Pakistan,2020,0
30,770875,29,3623912,Pakistan,2020,0
31,770875,30,3525487,Pakistan,2020,0
32,770875,31,3426037,Pakistan,2020,0
33,770875,32,3325555,Pakistan,2020,0
34,770875,33,3228272,Pakistan,2020,0
35,770875,34,3130802,Pakistan,2020,0
36,770875,35,3034755,Pakistan,2020,0
37,770875,36,2932417,Pakistan,2020,0
38,770875,37,2834338,Pakistan,2020,0
39,770875,38,2750101,Pakistan,2020,0
40,770875,39,2694187,Pakistan,2020,0
41,770875,40,2625240,Pakistan,2020,0
42,770875,41,2526498,Pakistan,2020,0
43,770875,42,2413017,Pakistan,2020,0
44,770875,43,2307234,Pakistan,2020,0
45,770875,44,2219659,Pakistan,2020,0
46,770875,45,2145280,Pakistan,2020,0
47,770875,46,2080344,Pakistan,2020,0
48,770875,47,2023044,Pakistan,2020,0
49,770875,48,1968074,Pakistan,2020,0
50,770875,49,1933364,Pakistan,2020,0
51,770875,50,1901217,Pakistan,2020,0
52,770875,51,1862164,Pakistan,2020,0
53,770875,52,1801615,Pakistan,2020,0
54,770875,53,1724310,Pakistan,2020,0
55,770875,54,1638601,Pakistan,2020,0
56,770875,55,1562764,Pakistan,2020,0
57,770875,56,1496991,Pakistan,2020,0
58,770875,57,1440322,Pakistan,2020,0
59,770875,58,1386110,Pakistan,2020,0
60,770875,59,1327904,Pakistan,2020,0
61,770875,60,1271111,Pakistan,2020,0
62,770875,61,1213778,Pakistan,2020,0
63,770875,62,1151586,Pakistan,2020,0
64,770875,63,1084682,Pakistan,2020,0
65,770875,64,1015401,Pakistan,2020,0
66,770875,65,950861,Pakistan,2020,0
67,770875,66,888799,Pakistan,2020,0
68,770875,67,827696,Pakistan,2020,0
69,770875,68,767558,Pakistan,2020,0
70,770875,69,704357,Pakistan,2020,0
71,770875,70,644795,Pakistan,2020,0
72,770875,71,595100,Pakistan,2020,0
73,770875,72,555787,Pakistan,2020,0
74,770875,73,522739,Pakistan,2020,0
75,770875,74,490015,Pakistan,2020,0
76,770875,75,456128,Pakistan,2020,0
77,770875,76,421781,Pakistan,2020,0
78,770875,77,385667,Pakistan,2020,0
79,770875,78,348468,Pakistan,2020,0
80,770875,79,311260,Pakistan,2020,0
81,770875,80,275296,Pakistan,2020,0
82,770875,81,240049,Pakistan,2020,0
83,770875,82,205742,Pakistan,2020,0
84,770875,83,173182,Pakistan,2020,0
85,770875,84,142974,Pakistan,2020,0
86,770875,85,115935,Pakistan,2020,0
87,770875,86,92150,Pakistan,2020,0
88,770875,87,71693,Pakistan,2020,0
89,770875,88,54465,Pakistan,2020,0
90,770875,89,40309,Pakistan,2020,0
91,770875,90,29110,Pakistan,2020,0
92,770875,91,20598,Pakistan,2020,0
93,770875,92,14283,Pakistan,2020,0
94,770875,93,9681,Pakistan,2020,0
95,770875,94,6357,Pakistan,2020,0
96,770875,95,4041,Pakistan,2020,0
97,770875,96,2494,Pakistan,2020,0
98,770875,97,1496,Pakistan,2020,0
99,770875,98,867,Pakistan,2020,0
100,770875,99,489,Pakistan,2020,0
101,770875,100,538,Pakistan,2020,0
