,0,1,2,3,4,5
0,AREA_KM2,AGE,POP,NAME,time,SEX
1,298170,0,2451061,Philippines,2020,0
2,298170,1,2432542,Philippines,2020,0
3,298170,2,2417131,Philippines,2020,0
4,298170,3,2402746,Philippines,2020,0
5,298170,4,2388601,Philippines,2020,0
6,298170,5,2376354,Philippines,2020,0
7,298170,6,2365962,Philippines,2020,0
8,298170,7,2356687,Philippines,2020,0
9,298170,8,2349872,Philippines,2020,0
10,298170,9,2343115,Philippines,2020,0
11,298170,10,2332948,Philippines,2020,0
12,298170,11,2320056,Philippines,2020,0
13,298170,12,2305157,Philippines,2020,0
14,298170,13,2286454,Philippines,2020,0
15,298170,14,2264071,Philippines,2020,0
16,298170,15,2238011,Philippines,2020,0
17,298170,16,2207850,Philippines,2020,0
18,298170,17,2179217,Philippines,2020,0
19,298170,18,2151223,Philippines,2020,0
20,298170,19,2118058,Philippines,2020,0
21,298170,20,2082635,Philippines,2020,0
22,298170,21,2048696,Philippines,2020,0
23,298170,22,2011758,Philippines,2020,0
24,298170,23,1967416,Philippines,2020,0
25,298170,24,1918508,Philippines,2020,0
26,298170,25,1868552,Philippines,2020,0
27,298170,26,1821395,Philippines,2020,0
28,298170,27,1786694,Philippines,2020,0
29,298170,28,1759454,Philippines,2020,0
30,298170,29,1728090,Philippines,2020,0
31,298170,30,1692225,Philippines,2020,0
32,298170,31,1653064,Philippines,2020,0
33,298170,32,1625221,Philippines,2020,0
34,298170,33,1601478,Philippines,2020,0
35,298170,34,1571192,Philippines,2020,0
36,298170,35,1539751,Philippines,2020,0
37,298170,36,1506672,Philippines,2020,0
38,298170,37,1478364,Philippines,2020,0
39,298170,38,1448396,Philippines,2020,0
40,298170,39,1406859,Philippines,2020,0
41,298170,40,1383024,Philippines,2020,0
42,298170,41,1348681,Philippines,2020,0
43,298170,42,1301017,Philippines,2020,0
44,298170,43,1248320,Philippines,2020,0
45,298170,44,1200560,Philippines,2020,0
46,298170,45,1153986,Philippines,2020,0
47,298170,46,1108996,Philippines,2020,0
48,298170,47,1065364,Philippines,2020,0
49,298170,48,1025556,Philippines,2020,0
50,298170,49,989441,Philippines,2020,0
51,298170,50,959842,Philippines,2020,0
52,298170,51,930987,Philippines,2020,0
53,298170,52,899425,Philippines,2020,0
54,298170,53,866950,Philippines,2020,0
55,298170,54,835338,Philippines,2020,0
56,298170,55,806205,Philippines,2020,0
57,298170,56,779636,Philippines,2020,0
58,298170,57,749743,Philippines,2020,0
59,298170,58,720903,Philippines,2020,0
60,298170,59,689881,Philippines,2020,0
61,298170,60,658871,Philippines,2020,0
62,298170,61,630148,Philippines,2020,0
63,298170,62,600377,Philippines,2020,0
64,298170,63,572081,Philippines,2020,0
65,298170,64,541941,Philippines,2020,0
66,298170,65,511765,Philippines,2020,0
67,298170,66,483316,Philippines,2020,0
68,298170,67,453082,Philippines,2020,0
69,298170,68,420416,Philippines,2020,0
70,298170,69,384922,Philippines,2020,0
71,298170,70,348655,Philippines,2020,0
72,298170,71,315697,Philippines,2020,0
73,298170,72,286930,Philippines,2020,0
74,298170,73,262644,Philippines,2020,0
75,298170,74,240268,Philippines,2020,0
76,298170,75,218806,Philippines,2020,0
77,298170,76,198199,Philippines,2020,0
78,298170,77,179156,Philippines,2020,0
79,298170,78,160762,Philippines,2020,0
80,298170,79,142334,Philippines,2020,0
81,298170,80,124619,Philippines,2020,0
82,298170,81,108372,Philippines,2020,0
83,298170,82,93493,Philippines,2020,0
84,298170,83,79529,Philippines,2020,0
85,298170,84,66484,Philippines,2020,0
86,298170,85,54497,Philippines,2020,0
87,298170,86,43967,Philippines,2020,0
88,298170,87,34921,Philippines,2020,0
89,298170,88,27123,Philippines,2020,0
90,298170,89,20567,Philippines,2020,0
91,298170,90,15238,Philippines,2020,0
92,298170,91,11032,Philippines,2020,0
93,298170,92,7834,Philippines,2020,0
94,298170,93,5426,Philippines,2020,0
95,298170,94,3673,Philippines,2020,0
96,298170,95,2420,Philippines,2020,0
97,298170,96,1549,Philippines,2020,0
98,298170,97,965,Philippines,2020,0
99,298170,98,585,Philippines,2020,0
100,298170,99,344,Philippines,2020,0
101,298170,100,416,Philippines,2020,0
