,0,1,2,3,4,5
0,AREA_KM2,AGE,POP,NAME,time,SEX
1,1214470,0,1063563,South Africa,2020,0
2,1214470,1,1065110,South Africa,2020,0
3,1214470,2,1067698,South Africa,2020,0
4,1214470,3,1069852,South Africa,2020,0
5,1214470,4,1070353,South Africa,2020,0
6,1214470,5,1065849,South Africa,2020,0
7,1214470,6,1056073,South Africa,2020,0
8,1214470,7,1055299,South Africa,2020,0
9,1214470,8,1063992,South Africa,2020,0
10,1214470,9,1073995,South Africa,2020,0
11,1214470,10,1066568,South Africa,2020,0
12,1214470,11,1048337,South Africa,2020,0
13,1214470,12,1026705,South Africa,2020,0
14,1214470,13,1002467,South Africa,2020,0
15,1214470,14,982147,South Africa,2020,0
16,1214470,15,969666,South Africa,2020,0
17,1214470,16,957849,South Africa,2020,0
18,1214470,17,946805,South Africa,2020,0
19,1214470,18,937526,South Africa,2020,0
20,1214470,19,930391,South Africa,2020,0
21,1214470,20,940742,South Africa,2020,0
22,1214470,21,948522,South Africa,2020,0
23,1214470,22,952764,South Africa,2020,0
24,1214470,23,949534,South Africa,2020,0
25,1214470,24,951125,South Africa,2020,0
26,1214470,25,963211,South Africa,2020,0
27,1214470,26,987066,South Africa,2020,0
28,1214470,27,1022178,South Africa,2020,0
29,1214470,28,1050329,South Africa,2020,0
30,1214470,29,1079034,South Africa,2020,0
31,1214470,30,1093211,South Africa,2020,0
32,1214470,31,1098298,South Africa,2020,0
33,1214470,32,1095029,South Africa,2020,0
34,1214470,33,1090498,South Africa,2020,0
35,1214470,34,1074640,South Africa,2020,0
36,1214470,35,1028537,South Africa,2020,0
37,1214470,36,967869,South Africa,2020,0
38,1214470,37,913636,South Africa,2020,0
39,1214470,38,862470,South Africa,2020,0
40,1214470,39,819489,South Africa,2020,0
41,1214470,40,780830,South Africa,2020,0
42,1214470,41,741570,South Africa,2020,0
43,1214470,42,705344,South Africa,2020,0
44,1214470,43,672026,South Africa,2020,0
45,1214470,44,642519,South Africa,2020,0
46,1214470,45,616976,South Africa,2020,0
47,1214470,46,593506,South Africa,2020,0
48,1214470,47,570001,South Africa,2020,0
49,1214470,48,546953,South Africa,2020,0
50,1214470,49,525274,South Africa,2020,0
51,1214470,50,505439,South Africa,2020,0
52,1214470,51,489120,South Africa,2020,0
53,1214470,52,474894,South Africa,2020,0
54,1214470,53,463282,South Africa,2020,0
55,1214470,54,451405,South Africa,2020,0
56,1214470,55,438034,South Africa,2020,0
57,1214470,56,425144,South Africa,2020,0
58,1214470,57,413068,South Africa,2020,0
59,1214470,58,402123,South Africa,2020,0
60,1214470,59,391160,South Africa,2020,0
61,1214470,60,379998,South Africa,2020,0
62,1214470,61,368652,South Africa,2020,0
63,1214470,62,355699,South Africa,2020,0
64,1214470,63,341137,South Africa,2020,0
65,1214470,64,324875,South Africa,2020,0
66,1214470,65,307706,South Africa,2020,0
67,1214470,66,290804,South Africa,2020,0
68,1214470,67,273561,South Africa,2020,0
69,1214470,68,257193,South Africa,2020,0
70,1214470,69,241772,South Africa,2020,0
71,1214470,70,225574,South Africa,2020,0
72,1214470,71,209383,South Africa,2020,0
73,1214470,72,192822,South Africa,2020,0
74,1214470,73,176604,South Africa,2020,0
75,1214470,74,161983,South Africa,2020,0
76,1214470,75,148229,South Africa,2020,0
77,1214470,76,134631,South Africa,2020,0
78,1214470,77,121584,South Africa,2020,0
79,1214470,78,109548,South Africa,2020,0
80,1214470,79,98504,South Africa,2020,0
81,1214470,80,87771,South Africa,2020,0
82,1214470,81,77075,South Africa,2020,0
83,1214470,82,66328,South Africa,2020,0
84,1214470,83,55743,South Africa,2020,0
85,1214470,84,45883,South Africa,2020,0
86,1214470,85,37037,South Africa,2020,0
87,1214470,86,29423,South Africa,2020,0
88,1214470,87,23022,South Africa,2020,0
89,1214470,88,17810,South Africa,2020,0
90,1214470,89,13576,South Africa,2020,0
91,1214470,90,10175,South Africa,2020,0
92,1214470,91,7421,South Africa,2020,0
93,1214470,92,5248,South Africa,2020,0
94,1214470,93,3587,South Africa,2020,0
95,1214470,94,2367,South Africa,2020,0
96,1214470,95,1517,South Africa,2020,0
97,1214470,96,943,South Africa,2020,0
98,1214470,97,572,South Africa,2020,0
99,1214470,98,338,South Africa,2020,0
100,1214470,99,196,South Africa,2020,0
101,1214470,100,231,South Africa,2020,0
