,0,1,2,3,4,5
0,AREA_KM2,AGE,POP,NAME,time,SEX
1,498980,0,439313,Spain,2020,0
2,498980,1,446929,Spain,2020,0
3,498980,2,455595,Spain,2020,0
4,498980,3,465190,Spain,2020,0
5,498980,4,475490,Spain,2020,0
6,498980,5,486511,Spain,2020,0
7,498980,6,497891,Spain,2020,0
8,498980,7,509497,Spain,2020,0
9,498980,8,520912,Spain,2020,0
10,498980,9,531756,Spain,2020,0
11,498980,10,541679,Spain,2020,0
12,498980,11,548480,Spain,2020,0
13,498980,12,540446,Spain,2020,0
14,498980,13,529110,Spain,2020,0
15,498980,14,522808,Spain,2020,0
16,498980,15,516661,Spain,2020,0
17,498980,16,514263,Spain,2020,0
18,498980,17,506318,Spain,2020,0
19,498980,18,499012,Spain,2020,0
20,498980,19,496714,Spain,2020,0
21,498980,20,491615,Spain,2020,0
22,498980,21,481364,Spain,2020,0
23,498980,22,480314,Spain,2020,0
24,498980,23,482220,Spain,2020,0
25,498980,24,481521,Spain,2020,0
26,498980,25,489314,Spain,2020,0
27,498980,26,506212,Spain,2020,0
28,498980,27,529587,Spain,2020,0
29,498980,28,547880,Spain,2020,0
30,498980,29,561022,Spain,2020,0
31,498980,30,576232,Spain,2020,0
32,498980,31,587431,Spain,2020,0
33,498980,32,605376,Spain,2020,0
34,498980,33,625061,Spain,2020,0
35,498980,34,643198,Spain,2020,0
36,498980,35,672239,Spain,2020,0
37,498980,36,688034,Spain,2020,0
38,498980,37,715046,Spain,2020,0
39,498980,38,745204,Spain,2020,0
40,498980,39,774567,Spain,2020,0
41,498980,40,811024,Spain,2020,0
42,498980,41,846235,Spain,2020,0
43,498980,42,864813,Spain,2020,0
44,498980,43,885604,Spain,2020,0
45,498980,44,896520,Spain,2020,0
46,498980,45,892846,Spain,2020,0
47,498980,46,878264,Spain,2020,0
48,498980,47,867195,Spain,2020,0
49,498980,48,850233,Spain,2020,0
50,498980,49,831883,Spain,2020,0
51,498980,50,812812,Spain,2020,0
52,498980,51,793459,Spain,2020,0
53,498980,52,787926,Spain,2020,0
54,498980,53,771041,Spain,2020,0
55,498980,54,753621,Spain,2020,0
56,498980,55,745291,Spain,2020,0
57,498980,56,725834,Spain,2020,0
58,498980,57,692343,Spain,2020,0
59,498980,58,667471,Spain,2020,0
60,498980,59,658220,Spain,2020,0
61,498980,60,644962,Spain,2020,0
62,498980,61,627353,Spain,2020,0
63,498980,62,611593,Spain,2020,0
64,498980,63,575185,Spain,2020,0
65,498980,64,548651,Spain,2020,0
66,498980,65,526085,Spain,2020,0
67,498980,66,513487,Spain,2020,0
68,498980,67,508327,Spain,2020,0
69,498980,68,486652,Spain,2020,0
70,498980,69,468626,Spain,2020,0
71,498980,70,464000,Spain,2020,0
72,498980,71,470889,Spain,2020,0
73,498980,72,460865,Spain,2020,0
74,498980,73,418675,Spain,2020,0
75,498980,74,416120,Spain,2020,0
76,498980,75,401961,Spain,2020,0
77,498980,76,383356,Spain,2020,0
78,498980,77,348029,Spain,2020,0
79,498980,78,299430,Spain,2020,0
80,498980,79,314182,Spain,2020,0
81,498980,80,269157,Spain,2020,0
82,498980,81,239133,Spain,2020,0
83,498980,82,247521,Spain,2020,0
84,498980,83,260629,Spain,2020,0
85,498980,84,249523,Spain,2020,0
86,498980,85,226474,Spain,2020,0
87,498980,86,211507,Spain,2020,0
88,498980,87,192590,Spain,2020,0
89,498980,88,167850,Spain,2020,0
90,498980,89,147434,Spain,2020,0
91,498980,90,123574,Spain,2020,0
92,498980,91,101377,Spain,2020,0
93,498980,92,81143,Spain,2020,0
94,498980,93,65340,Spain,2020,0
95,498980,94,50822,Spain,2020,0
96,498980,95,39158,Spain,2020,0
97,498980,96,29335,Spain,2020,0
98,498980,97,21635,Spain,2020,0
99,498980,98,15161,Spain,2020,0
100,498980,99,10272,Spain,2020,0
101,498980,100,17082,Spain,2020,0
