,0,1,2,3,4,5
0,AREA_KM2,AGE,POP,NAME,time,SEX
1,410335,0,123086,Sweden,2020,0
2,410335,1,123097,Sweden,2020,0
3,410335,2,122851,Sweden,2020,0
4,410335,3,122404,Sweden,2020,0
5,410335,4,121825,Sweden,2020,0
6,410335,5,121131,Sweden,2020,0
7,410335,6,120416,Sweden,2020,0
8,410335,7,119810,Sweden,2020,0
9,410335,8,118959,Sweden,2020,0
10,410335,9,121113,Sweden,2020,0
11,410335,10,121981,Sweden,2020,0
12,410335,11,119620,Sweden,2020,0
13,410335,12,118024,Sweden,2020,0
14,410335,13,117109,Sweden,2020,0
15,410335,14,115015,Sweden,2020,0
16,410335,15,113329,Sweden,2020,0
17,410335,16,113056,Sweden,2020,0
18,410335,17,111188,Sweden,2020,0
19,410335,18,108053,Sweden,2020,0
20,410335,19,106130,Sweden,2020,0
21,410335,20,105726,Sweden,2020,0
22,410335,21,105800,Sweden,2020,0
23,410335,22,107737,Sweden,2020,0
24,410335,23,111522,Sweden,2020,0
25,410335,24,119033,Sweden,2020,0
26,410335,25,128280,Sweden,2020,0
27,410335,26,136550,Sweden,2020,0
28,410335,27,142421,Sweden,2020,0
29,410335,28,145407,Sweden,2020,0
30,410335,29,146371,Sweden,2020,0
31,410335,30,148674,Sweden,2020,0
32,410335,31,146649,Sweden,2020,0
33,410335,32,143260,Sweden,2020,0
34,410335,33,139698,Sweden,2020,0
35,410335,34,136289,Sweden,2020,0
36,410335,35,134555,Sweden,2020,0
37,410335,36,130431,Sweden,2020,0
38,410335,37,126765,Sweden,2020,0
39,410335,38,125766,Sweden,2020,0
40,410335,39,125026,Sweden,2020,0
41,410335,40,127144,Sweden,2020,0
42,410335,41,125999,Sweden,2020,0
43,410335,42,122712,Sweden,2020,0
44,410335,43,121169,Sweden,2020,0
45,410335,44,122555,Sweden,2020,0
46,410335,45,125153,Sweden,2020,0
47,410335,46,129561,Sweden,2020,0
48,410335,47,131082,Sweden,2020,0
49,410335,48,131166,Sweden,2020,0
50,410335,49,131563,Sweden,2020,0
51,410335,50,130370,Sweden,2020,0
52,410335,51,126335,Sweden,2020,0
53,410335,52,127694,Sweden,2020,0
54,410335,53,133577,Sweden,2020,0
55,410335,54,137386,Sweden,2020,0
56,410335,55,137743,Sweden,2020,0
57,410335,56,136656,Sweden,2020,0
58,410335,57,131612,Sweden,2020,0
59,410335,58,123329,Sweden,2020,0
60,410335,59,118156,Sweden,2020,0
61,410335,60,115299,Sweden,2020,0
62,410335,61,113437,Sweden,2020,0
63,410335,62,112969,Sweden,2020,0
64,410335,63,112593,Sweden,2020,0
65,410335,64,112522,Sweden,2020,0
66,410335,65,111330,Sweden,2020,0
67,410335,66,108142,Sweden,2020,0
68,410335,67,106813,Sweden,2020,0
69,410335,68,106773,Sweden,2020,0
70,410335,69,104589,Sweden,2020,0
71,410335,70,105269,Sweden,2020,0
72,410335,71,107736,Sweden,2020,0
73,410335,72,109963,Sweden,2020,0
74,410335,73,110471,Sweden,2020,0
75,410335,74,109253,Sweden,2020,0
76,410335,75,107574,Sweden,2020,0
77,410335,76,103726,Sweden,2020,0
78,410335,77,97178,Sweden,2020,0
79,410335,78,87662,Sweden,2020,0
80,410335,79,76220,Sweden,2020,0
81,410335,80,66231,Sweden,2020,0
82,410335,81,61504,Sweden,2020,0
83,410335,82,57911,Sweden,2020,0
84,410335,83,51944,Sweden,2020,0
85,410335,84,46329,Sweden,2020,0
86,410335,85,41226,Sweden,2020,0
87,410335,86,36261,Sweden,2020,0
88,410335,87,31715,Sweden,2020,0
89,410335,88,27963,Sweden,2020,0
90,410335,89,25112,Sweden,2020,0
91,410335,90,21982,Sweden,2020,0
92,410335,91,18143,Sweden,2020,0
93,410335,92,14833,Sweden,2020,0
94,410335,93,11959,Sweden,2020,0
95,410335,94,9328,Sweden,2020,0
96,410335,95,7168,Sweden,2020,0
97,410335,96,5600,Sweden,2020,0
98,410335,97,4193,Sweden,2020,0
99,410335,98,2741,Sweden,2020,0
100,410335,99,1999,Sweden,2020,0
101,410335,100,3711,Sweden,2020,0
