,0,1,2,3,4,5
0,AREA_KM2,AGE,POP,NAME,time,SEX
1,39997,0,87364,Switzerland,2020,0
2,39997,1,87528,Switzerland,2020,0
3,39997,2,87994,Switzerland,2020,0
4,39997,3,88075,Switzerland,2020,0
5,39997,4,87928,Switzerland,2020,0
6,39997,5,87653,Switzerland,2020,0
7,39997,6,87259,Switzerland,2020,0
8,39997,7,86835,Switzerland,2020,0
9,39997,8,86400,Switzerland,2020,0
10,39997,9,86017,Switzerland,2020,0
11,39997,10,85269,Switzerland,2020,0
12,39997,11,84313,Switzerland,2020,0
13,39997,12,83181,Switzerland,2020,0
14,39997,13,82260,Switzerland,2020,0
15,39997,14,81431,Switzerland,2020,0
16,39997,15,81895,Switzerland,2020,0
17,39997,16,81468,Switzerland,2020,0
18,39997,17,80898,Switzerland,2020,0
19,39997,18,81502,Switzerland,2020,0
20,39997,19,85280,Switzerland,2020,0
21,39997,20,89677,Switzerland,2020,0
22,39997,21,90449,Switzerland,2020,0
23,39997,22,92165,Switzerland,2020,0
24,39997,23,93941,Switzerland,2020,0
25,39997,24,95629,Switzerland,2020,0
26,39997,25,97512,Switzerland,2020,0
27,39997,26,100460,Switzerland,2020,0
28,39997,27,104948,Switzerland,2020,0
29,39997,28,109323,Switzerland,2020,0
30,39997,29,111693,Switzerland,2020,0
31,39997,30,112797,Switzerland,2020,0
32,39997,31,116054,Switzerland,2020,0
33,39997,32,117227,Switzerland,2020,0
34,39997,33,117844,Switzerland,2020,0
35,39997,34,119466,Switzerland,2020,0
36,39997,35,121051,Switzerland,2020,0
37,39997,36,121618,Switzerland,2020,0
38,39997,37,121380,Switzerland,2020,0
39,39997,38,122556,Switzerland,2020,0
40,39997,39,122315,Switzerland,2020,0
41,39997,40,121339,Switzerland,2020,0
42,39997,41,117973,Switzerland,2020,0
43,39997,42,116396,Switzerland,2020,0
44,39997,43,115354,Switzerland,2020,0
45,39997,44,114795,Switzerland,2020,0
46,39997,45,114890,Switzerland,2020,0
47,39997,46,115995,Switzerland,2020,0
48,39997,47,116720,Switzerland,2020,0
49,39997,48,119923,Switzerland,2020,0
50,39997,49,122187,Switzerland,2020,0
51,39997,50,124161,Switzerland,2020,0
52,39997,51,127037,Switzerland,2020,0
53,39997,52,128855,Switzerland,2020,0
54,39997,53,130314,Switzerland,2020,0
55,39997,54,132003,Switzerland,2020,0
56,39997,55,131963,Switzerland,2020,0
57,39997,56,130653,Switzerland,2020,0
58,39997,57,125017,Switzerland,2020,0
59,39997,58,119371,Switzerland,2020,0
60,39997,59,114668,Switzerland,2020,0
61,39997,60,111282,Switzerland,2020,0
62,39997,61,105517,Switzerland,2020,0
63,39997,62,101527,Switzerland,2020,0
64,39997,63,98428,Switzerland,2020,0
65,39997,64,94773,Switzerland,2020,0
66,39997,65,90727,Switzerland,2020,0
67,39997,66,87486,Switzerland,2020,0
68,39997,67,84930,Switzerland,2020,0
69,39997,68,82611,Switzerland,2020,0
70,39997,69,80872,Switzerland,2020,0
71,39997,70,81039,Switzerland,2020,0
72,39997,71,79505,Switzerland,2020,0
73,39997,72,78519,Switzerland,2020,0
74,39997,73,76952,Switzerland,2020,0
75,39997,74,74129,Switzerland,2020,0
76,39997,75,70606,Switzerland,2020,0
77,39997,76,67545,Switzerland,2020,0
78,39997,77,63614,Switzerland,2020,0
79,39997,78,58622,Switzerland,2020,0
80,39997,79,53431,Switzerland,2020,0
81,39997,80,48652,Switzerland,2020,0
82,39997,81,45593,Switzerland,2020,0
83,39997,82,42484,Switzerland,2020,0
84,39997,83,39981,Switzerland,2020,0
85,39997,84,38062,Switzerland,2020,0
86,39997,85,35243,Switzerland,2020,0
87,39997,86,31733,Switzerland,2020,0
88,39997,87,28395,Switzerland,2020,0
89,39997,88,25365,Switzerland,2020,0
90,39997,89,22225,Switzerland,2020,0
91,39997,90,18973,Switzerland,2020,0
92,39997,91,15533,Switzerland,2020,0
93,39997,92,12661,Switzerland,2020,0
94,39997,93,10232,Switzerland,2020,0
95,39997,94,8151,Switzerland,2020,0
96,39997,95,6207,Switzerland,2020,0
97,39997,96,4608,Switzerland,2020,0
98,39997,97,3299,Switzerland,2020,0
99,39997,98,2351,Switzerland,2020,0
100,39997,99,1579,Switzerland,2020,0
101,39997,100,2283,Switzerland,2020,0
