,0,1,2,3,4,5
0,AREA_KM2,AGE,POP,NAME,time,SEX
1,241930,0,778806,United Kingdom,2020,0
2,241930,1,780691,United Kingdom,2020,0
3,241930,2,780836,United Kingdom,2020,0
4,241930,3,779957,United Kingdom,2020,0
5,241930,4,779219,United Kingdom,2020,0
6,241930,5,778773,United Kingdom,2020,0
7,241930,6,777753,United Kingdom,2020,0
8,241930,7,775596,United Kingdom,2020,0
9,241930,8,772976,United Kingdom,2020,0
10,241930,9,771308,United Kingdom,2020,0
11,241930,10,770845,United Kingdom,2020,0
12,241930,11,771771,United Kingdom,2020,0
13,241930,12,773890,United Kingdom,2020,0
14,241930,13,763277,United Kingdom,2020,0
15,241930,14,739517,United Kingdom,2020,0
16,241930,15,727662,United Kingdom,2020,0
17,241930,16,723900,United Kingdom,2020,0
18,241930,17,709848,United Kingdom,2020,0
19,241930,18,706482,United Kingdom,2020,0
20,241930,19,721912,United Kingdom,2020,0
21,241930,20,746723,United Kingdom,2020,0
22,241930,21,775356,United Kingdom,2020,0
23,241930,22,798230,United Kingdom,2020,0
24,241930,23,815851,United Kingdom,2020,0
25,241930,24,826869,United Kingdom,2020,0
26,241930,25,840863,United Kingdom,2020,0
27,241930,26,858164,United Kingdom,2020,0
28,241930,27,875487,United Kingdom,2020,0
29,241930,28,896450,United Kingdom,2020,0
30,241930,29,911010,United Kingdom,2020,0
31,241930,30,914861,United Kingdom,2020,0
32,241930,31,910022,United Kingdom,2020,0
33,241930,32,919536,United Kingdom,2020,0
34,241930,33,907504,United Kingdom,2020,0
35,241930,34,897360,United Kingdom,2020,0
36,241930,35,883210,United Kingdom,2020,0
37,241930,36,863247,United Kingdom,2020,0
38,241930,37,853481,United Kingdom,2020,0
39,241930,38,853867,United Kingdom,2020,0
40,241930,39,860295,United Kingdom,2020,0
41,241930,40,852325,United Kingdom,2020,0
42,241930,41,812941,United Kingdom,2020,0
43,241930,42,763506,United Kingdom,2020,0
44,241930,43,752225,United Kingdom,2020,0
45,241930,44,775555,United Kingdom,2020,0
46,241930,45,800123,United Kingdom,2020,0
47,241930,46,812649,United Kingdom,2020,0
48,241930,47,838178,United Kingdom,2020,0
49,241930,48,865863,United Kingdom,2020,0
50,241930,49,916466,United Kingdom,2020,0
51,241930,50,911918,United Kingdom,2020,0
52,241930,51,924104,United Kingdom,2020,0
53,241930,52,926502,United Kingdom,2020,0
54,241930,53,940830,United Kingdom,2020,0
55,241930,54,949021,United Kingdom,2020,0
56,241930,55,944814,United Kingdom,2020,0
57,241930,56,930261,United Kingdom,2020,0
58,241930,57,910443,United Kingdom,2020,0
59,241930,58,882973,United Kingdom,2020,0
60,241930,59,865460,United Kingdom,2020,0
61,241930,60,821236,United Kingdom,2020,0
62,241930,61,795450,United Kingdom,2020,0
63,241930,62,778080,United Kingdom,2020,0
64,241930,63,744505,United Kingdom,2020,0
65,241930,64,700857,United Kingdom,2020,0
66,241930,65,673215,United Kingdom,2020,0
67,241930,66,665932,United Kingdom,2020,0
68,241930,67,648884,United Kingdom,2020,0
69,241930,68,634303,United Kingdom,2020,0
70,241930,69,634781,United Kingdom,2020,0
71,241930,70,643520,United Kingdom,2020,0
72,241930,71,652856,United Kingdom,2020,0
73,241930,72,689023,United Kingdom,2020,0
74,241930,73,706493,United Kingdom,2020,0
75,241930,74,564680,United Kingdom,2020,0
76,241930,75,533483,United Kingdom,2020,0
77,241930,76,505839,United Kingdom,2020,0
78,241930,77,469092,United Kingdom,2020,0
79,241930,78,409735,United Kingdom,2020,0
80,241930,79,370626,United Kingdom,2020,0
81,241930,80,366628,United Kingdom,2020,0
82,241930,81,350166,United Kingdom,2020,0
83,241930,82,327099,United Kingdom,2020,0
84,241930,83,301423,United Kingdom,2020,0
85,241930,84,274379,United Kingdom,2020,0
86,241930,85,246953,United Kingdom,2020,0
87,241930,86,217850,United Kingdom,2020,0
88,241930,87,196861,United Kingdom,2020,0
89,241930,88,178463,United Kingdom,2020,0
90,241930,89,160939,United Kingdom,2020,0
91,241930,90,138960,United Kingdom,2020,0
92,241930,91,118142,United Kingdom,2020,0
93,241930,92,98651,United Kingdom,2020,0
94,241930,93,83716,United Kingdom,2020,0
95,241930,94,69156,United Kingdom,2020,0
96,241930,95,54971,United Kingdom,2020,0
97,241930,96,43796,United Kingdom,2020,0
98,241930,97,34132,United Kingdom,2020,0
99,241930,98,27207,United Kingdom,2020,0
100,241930,99,21213,United Kingdom,2020,0
101,241930,100,38260,United Kingdom,2020,0
