review,label
husband rare afternoon decid tri place friend drink work enjoy sat waitress gave us entir menu explan indic whole menu avail go order food late lunch 230 waitress came back said kitchen close okay big deal well wine find place eat area afterward first page menu happi hour deal menu clearli state happi hour monday friday 750 cute wine $750 per glass husband point wine front cover menu happi hour menu got bill charg full price wine ask waitress said oh happi hour doesnt start 400 yet menu say fact menu indic start time end time waitress could clearli see order happi hour menu dumb point name thing mention time wine would full price instead kind laugh said probabl put 400 said absolut return recommend,negative
year thought wine store sister stop told go nice littl place stop twice saturday afternoon tuesday even time other noth crowd like chose wine bottl glass flight beer bottl draft food tasti enjoy artichok asiago dip stuf peppadew medium heat buffalo chicken flatbread nice relax place hang friend glass wine beer tasti snack,positive
place charm went husband love simpl clean decor romant light wine food delici server attent friendli help also found afford rang wine price option enjoy afford appet dont want spend money full meal back,positive
want tri place coupl year final stop last night servic excel food great cute insid romant flair also littl wine shop right next restaur cant wait go back snow outsid think beauti,positive
decor look ok layout busi difficult walk sit/talk breath food ised servic mostli underwhelm think price would visit creeksid courtyard burntwood instead next time,negative
l love place great wine delici light fare servic could littl attent nice mix crowd chang throughout night bewar seat chair bar slipperi even wine,positive
overpr food wasnt great either bug wife sit end bar appar server like congreg noth guy sit next us duti server laptop everyon kept come hang off-put sit next bunch server bsing instead work couldnt even hear convers,negative
cute place decent select wine sadli end $750 uncork fee purchas bottl & choos drink tell seal unfortun server put cork $55 wine bottl $16 wine put paper bag & stapl shut around cork said fine & would consid open contain wish would open bag call manag got home nicest guy he sorri talk waiter & come back & mention name send someth way sinc seal bottl & gave wrong bottl credit card back,negative
cute intim space delici wine came meet friend drink dinner decent select wine glass nice see werent tradit name abl tri new wine doesnt love definit better select red wine dont discrimin red white happi enjoy tasti flatbread delici even mini summer menu select dessert chocol fondu plate agre pound cake best would whole plate pound cake could would given 5 star servic bit spotti time would empti glass wine server brodi friendli keep 4 definit back vino flat bread cours pound cake cheer,positive
peopl believ cannot fall love look sure place ambianc great place clean crisp visit wednesday night empti didnt stop friend great time never felt rush order rush leav tri close earli place empti happen place friend sat tabl window abl chat hour drink wine enjoy great food place make good date night spot place get togeth group friend start glass hous sangria favorit mean bad ask waiter help pick wine drier side still hint sweetness- recommend bordeaux glass wonder exactli imagin friend order chardonnay said exactli wanted- summertim wine pick bottl shelv drink charg $7 corkag fee take home dont finish wonder select bottl wine glass choos afford option know sometim peopl dont drink wine deter wine bar wine bar also serv great list draft bottl craft beer food also realli good split avocado toast summer special white hot flatbread pizza creami asiago chees flatbread soooooo good menu simpl delici,positive
great food great servic server ami wonder manag pete quit charact realli made sure everyon felt home 10/10 would recommend,positive
cute place small insid flatbread pizza wine select realli good staff friendli treat everybodi well enjoy go,positive
staff pleasant wine great also good happi hour deal ive eaten never disappoint one time friend look purchas wine person help us extrem knowledg love place would definit recommend,positive
love atmospher felt nice cozi love local wine bar brecksvil bar loud even saturday night delici flat bread ingredi tast fresh servic opinion good gave space still come refil beverag definit back,positive
tool around brecksvil area recent afternoon spot 750 ml corner wander perus wine/b select end tast red wine flight great place tri ecclect wine arent offer place warmli greet frank sat one six tabl align stainless steel bar behind wall wine abl wander tast order red wine flight spanish tempranillo french bordeaux california red blend sweet australian shiraz frank place gorgeou wooden pine server hand-written descript knew tast present order dri sweet wine would palat mention fact dont serv food 400 pm happi fact walk front door wasnt overwhelm fragranc food perfect atmospher tast wine next stop 750ml fairlawn,positive
wonder wine bar one wine flight got sampl differ wine even discov red final enjoy server knowledg help guid new fun wine tast experi cant wait go back,positive
realli like atmospher place definit enjoy wine flight bento box snack disappoint servic howev servic fine seat tabl order menu perus wine select look gift bottl take home one offer help us eventu gave went heinen,negative
sever time peopl rude food margin best food came cook thoroughli ask manger frank came rude said food usual good must picki owner happen nice well feel money spend anywher wont spent 750ml,negative
highli enjoy wine flight order larg select wine good price friend order sriracha hummu start okay pretti much typic plain hummu sriracha squirt top huge oliv fan oliv came hummu die also share white hot flatbread similar hummu noth special asiago spread sauc grill chicken chees red pepper flake takeaway go drinkeat elsewher,negative
review mostli wine club offer dont think wine pick except good price per bottl didnt seem discount im commit buy wine everi month would expect get better deal use live wine countri oregon wine club discount bottl includ shipment also could offer membership quarterli get nicer bottl instead buy cheaper bottl monthli also drink time like local good select wine cork fee dont choos menu sad huge awesom select menu seem littl high servic seem hit miss would like tri food havent yet,negative
im sure wine bar rate poorli servic alway great there good food reason price vari special flight pint obvious great select wine decor resembl exact feel california small tast room treat neo,positive
wife went 750ml first time friday larg group 8 thought downstair tight yelper mention big deal space wine select actual pretti good price seem line went upstair nice realli need chair opposit bench seat though decor gener nice wait staff nice job us ran wine glass took bit time get drink got go attent one nit pic issu feel red serv way warm im also think happen glass wash dri hot pour almost forgot food good especi mushroom flatbread bruschetta return sure,positive
wife driven past multipl time decid give 750ml tri bad decisioninterior okay kind blahhhh walk look around one acknowledg us sat tabl server came ask want drinki ask see wine list firstreal ask wife awkward 5 minut order decid share flatbread raw chicken told waitress brought back kitchen told didnt want back still bill us sum experi felt forgotten time walk non-exist thank left staff huddl corner chit chat custom wait long time better option area,negative
tuscan flatbread good - could bit hotter - semi-warm staff need custom servic train still sure bartend gave us menu figur want said oh cant order - wrong menu atmospher could warmer modern stiff steril metal chair comfort - look like prison seat,negative
atmospher nice limit seat howev complet unprepar open sever time server pass us sat 15 minut never acknowledg,negative
im dont eat chain much ill stop neighborhood applebe im feel locat particular great staff attent care experi kind servic honestli make meal littl bit better usual get 2 25$ buddi honestli amaz deal,positive
great place enjoy servic server amaz definit recommend locat great meal even better servic thank libbi,positive
dollar margarita got group great servic plu mediocr satisfactori food a-ok book mike work bar super respons effici 20 us pedal restaur late even bicycl ride dole drink entir parti took order split check didnt disappoint part servic late night happi hour food nacho bit soggi spici tast boneless chicken wing expect,negative
usual dont frequent applebe there good reason locat 2 star sent one meal back came cold get steak ined wouldnt feed enemi dog save grace server leah nice made right taken bill wont come back,negative
hi dont know peopl give good review doesnt make sens best staff ever love wish natasha server alway smile custom face like manger also bartend mike kyle take care everi time go frank best manger realli great staff hire natasha server tabl want rakan,positive
walk 1230pm blown away wait staff meal $300 per person didnt good servic waiter thirti second whenev rais hand otherwis didnt distract meal audiobook food averag cook perfectli possibl pasta,positive
hostess awesom held door bubbl person type person want work front seat right away steak shrimp top realli good thing didnt like side broccoli came huge piec littl overwhelm differ like broccoli piec need smaller size littl tree server nice attent restaur clean play spanish music whole time littl odd sinc neighborhood grill guest restaur also make comment regard music manag duti seen normal make round feel import,positive
